Precinct,1ST CHOICE COUNCIL MEMBER WARD EIGHT WARD 8,2ND CHOICE COUNCIL MEMBER WARD EIGHT WARD 8,3RD CHOICE COUNCIL MEMBER WARD EIGHT WARD 8,COUNT
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,UWI,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,UWI,UWI,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,UWI,UWI,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,UWI,UWI,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,UWI,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,UWI,UWI,UWI,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,UWI,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,UWI,UWI,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,UWI,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-03,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,undervote,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-02,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,ELIZABETH GLIDDEN,undervote,undervote,1
MINNEAPOLIS W-8 P-04,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,ELIZABETH GLIDDEN,1
