Precinct,1ST CHOICE PARK AND RECREATION COMMISSIONER DISTRICT FIVE DISTRICT 5,2ND CHOICE PARK AND RECREATION COMMISSIONER DISTRICT FIVE DISTRICT 5,3RD CHOICE PARK AND RECREATION COMMISSIONER DISTRICT FIVE DISTRICT 5,COUNT
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-9 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,UWI,UWI,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-9 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-9 P-07,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-9 P-07,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,overvote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,STEFFANIE MUSICH,undervote,1
MINNEAPOLIS W-12 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-11 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-9 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-8 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-04,UWI,UWI,UWI,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-9 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-07,UWI,undervote,undervote,1
MINNEAPOLIS W-11 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-9 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,UWI,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-09,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-04,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,STEFFANIE MUSICH,STEFFANIE MUSICH,1
MINNEAPOLIS W-12 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-02,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-08,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-12 P-05,STEFFANIE MUSICH,UWI,UWI,1
MINNEAPOLIS W-9 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-03,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-06,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-05,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-9 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-9 P-07,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,STEFFANIE MUSICH,undervote,undervote,1
MINNEAPOLIS W-8 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,STEFFANIE MUSICH,undervote,undervote,1
